lat,lon,type
6.2119874,-75.5567821,Content
6.230117,-75.563327,eCommerce
6.230117,-75.563327,Business
6.2119874,-75.5567821,Business
6.301797,-75.553299,Business
6.301797,-75.553299,eCommerce
6.19454,-75.567523,Content
6.2510044,-75.5637894,Business
6.2530752,-75.5786159,Business
6.248391,-75.591245,eCommerce
6.301797,-75.553299,Business
6.2092855,-75.5670345,eCommerce
6.301797,-75.553299,Business
6.2510044,-75.5637894,Business
6.19454,-75.567523,Business
6.19454,-75.567523,Business
6.250723,-75.584076,Business
6.2187499,-75.5869674,eCommerce
6.2119874,-75.5567821,Business
6.248391,-75.591245,eCommerce
6.301797,-75.553299,Content
6.220482,-75.566365,eCommerce
6.2348563,-75.5873813,eCommerce
6.2119874,-75.5567821,eCommerce
6.301797,-75.553299,Business
6.2510044,-75.5637894,Business
6.301797,-75.553299,Business
6.19454,-75.567523,Content
6.250723,-75.584076,Business
6.301797,-75.553299,Content
6.252149,-75.575289,Business
6.296538,-75.568865,eCommerce
6.230117,-75.563327,eCommerce
6.2609584,-75.5669902,Business
6.2119874,-75.5567821,eCommerce
6.210327,-75.603788,Business
6.2119874,-75.5567821,eCommerce
6.2520624,-75.5821227,eCommerce
6.254283,-75.560387,eCommerce
6.2119874,-75.5567821,eCommerce
6.296538,-75.568865,Business
6.2520624,-75.5821227,Business
6.19454,-75.567523,Business
6.254742,-75.556,Business
6.188514,-75.560786,Business
6.230117,-75.563327,Business
6.294371,-75.540426,Business
6.277394,-75.605504,Business
6.245798,-75.611638,eCommerce
6.2119874,-75.5567821,Business
6.239856,-75.573903,Business
6.239856,-75.573903,Business
6.2119874,-75.5567821,Content
6.19454,-75.567523,Business
6.2348563,-75.5873813,eCommerce
6.24282,-75.554267,Business
6.259036,-75.555841,Content
6.301797,-75.553299,Business
6.301797,-75.553299,Content
6.301797,-75.553299,eCommerce
6.301797,-75.553299,Content
6.2530752,-75.5786159,Business
6.19454,-75.567523,eCommerce
6.2520624,-75.5821227,Content
6.2092855,-75.5670345,Business
6.245798,-75.611638,Business
6.266859,-75.561254,Business
6.283849,-75.559202,eCommerce
6.245798,-75.611638,Content
6.2119874,-75.5567821,eCommerce
6.2210986,-75.6062597,Business
6.2119874,-75.5567821,Content
6.301797,-75.553299,Business
6.2510044,-75.5637894,Business
6.2530752,-75.5786159,Content
6.2119874,-75.5567821,Business
6.301797,-75.553299,Business
6.2510044,-75.5637894,Business
6.2348563,-75.5873813,eCommerce
6.2530752,-75.5786159,Business
6.239856,-75.573903,Business
6.2520624,-75.5821227,Business
6.2520624,-75.5821227,eCommerce
6.2119874,-75.5567821,Business
6.239644,-75.583503,Business
6.252149,-75.575289,eCommerce
6.2510044,-75.5637894,Business
6.252149,-75.575289,Business
6.2520624,-75.5821227,eCommerce
6.2210986,-75.6062597,Business
6.19454,-75.567523,eCommerce
6.239856,-75.573903,eCommerce
6.301797,-75.553299,Content
6.301797,-75.553299,Content
6.301797,-75.553299,Business
6.2530752,-75.5786159,eCommerce
6.2119874,-75.5567821,Business
6.250576,-75.620536,Business
6.2092855,-75.5670345,Business
6.2416299,-75.5944681,Business
6.2520624,-75.5821227,Business
6.2119874,-75.5567821,eCommerce
6.230117,-75.563327,eCommerce
6.252149,-75.575289,eCommerce
6.2510044,-75.5637894,eCommerce
6.2187499,-75.5869674,Business
6.289663,-75.551709,Business
6.308813,-75.553126,eCommerce
6.301797,-75.553299,Business
6.210327,-75.603788,eCommerce
6.239856,-75.573903,Business
6.2119874,-75.5567821,eCommerce
6.2119874,-75.5567821,Business
6.301797,-75.553299,Business
6.254742,-75.556,Content
6.210327,-75.603788,eCommerce
6.2119874,-75.5567821,eCommerce
6.2361027,-75.5887989,Business
6.301797,-75.553299,Content
6.2119874,-75.5567821,Business
6.2210986,-75.6062597,eCommerce
6.2119874,-75.5567821,eCommerce
6.301797,-75.553299,Business
6.2119874,-75.5567821,eCommerce
6.2119874,-75.5567821,Business
6.2510044,-75.5637894,Business
6.19454,-75.567523,Business
6.2510044,-75.5637894,Framed
6.267469,-75.583792,Business
6.250723,-75.584076,Business
6.2520624,-75.5821227,Business
6.252149,-75.575289,Business
6.301797,-75.553299,Content
6.252149,-75.575289,Business
6.19454,-75.567523,eCommerce
6.214676,-75.561797,Business
6.301797,-75.553299,Content
6.2520624,-75.5821227,eCommerce
6.301797,-75.553299,Business
6.2530752,-75.5786159,Business
6.210327,-75.603788,eCommerce
6.2119874,-75.5567821,Business
6.2119874,-75.5567821,eCommerce
6.301797,-75.553299,Business
6.301797,-75.553299,eCommerce
6.2517317,-75.5689556,Business
6.301797,-75.553299,Business
6.2119874,-75.5567821,eCommerce
6.239856,-75.573903,eCommerce
6.301797,-75.553299,Content
6.2119874,-75.5567821,Business
6.278111,-75.544637,Business
6.2530752,-75.5786159,Business
6.2210986,-75.6062597,eCommerce
6.301797,-75.553299,eCommerce
6.2520624,-75.5821227,eCommerce
6.301797,-75.553299,Content
6.214676,-75.561797,Business
6.250723,-75.584076,Business
6.2520624,-75.5821227,eCommerce
6.301797,-75.553299,Business
6.2210986,-75.6062597,eCommerce
6.2609584,-75.5669902,Business
6.2210986,-75.6062597,Business
6.301797,-75.553299,Business
6.2530752,-75.5786159,Business
6.19454,-75.567523,Content
6.19454,-75.567523,Business
6.301797,-75.553299,Business
6.2520624,-75.5821227,Business
6.2119874,-75.5567821,Business
6.19454,-75.567523,Business
6.2041894,-75.5781768,Content
6.2416299,-75.5944681,eCommerce
6.2348563,-75.5873813,eCommerce
6.230117,-75.563327,Business
6.250723,-75.584076,eCommerce
6.2510044,-75.5637894,Business
6.2510044,-75.5637894,Business
6.267469,-75.583792,Business
6.2119874,-75.5567821,Business
6.2530752,-75.5786159,Business
6.2530752,-75.5786159,Business
6.239856,-75.573903,eCommerce
6.266859,-75.561254,Business
6.245798,-75.611638,Business
6.230117,-75.563327,eCommerce
6.301797,-75.553299,Content
6.2348563,-75.5873813,Business
6.220871,-75.595868,Content
6.220871,-75.595868,eCommerce
6.2119874,-75.5567821,Business
6.301797,-75.553299,Business
6.250723,-75.584076,Content
6.285384,-75.587624,eCommerce
6.2119874,-75.5567821,Business
6.2510044,-75.5637894,Business
6.230117,-75.563327,Business
6.239856,-75.573903,eCommerce
6.2510044,-75.5637894,Business
6.301797,-75.553299,Business
6.2510044,-75.5637894,Business
6.210327,-75.603788,Business
6.245798,-75.611638,eCommerce
6.267469,-75.583792,Business
6.278111,-75.544637,eCommerce
6.2520624,-75.5821227,Business
6.301797,-75.553299,Business
6.2119874,-75.5567821,Business
6.2559309,-75.5632527,Business
6.239856,-75.573903,Business
6.2187499,-75.5869674,Content
6.301797,-75.553299,Business
6.250723,-75.584076,Business
6.301797,-75.553299,eCommerce
6.2119874,-75.5567821,Business
6.301797,-75.553299,Content
6.2530752,-75.5786159,eCommerce
6.245798,-75.611638,eCommerce
6.252149,-75.575289,Business
6.250723,-75.584076,eCommerce
6.239856,-75.573903,Business
6.267469,-75.583792,Business
6.239856,-75.573903,Business
6.245798,-75.611638,eCommerce
6.220871,-75.595868,Business
6.266859,-75.561254,eCommerce
6.250723,-75.584076,eCommerce
6.301797,-75.553299,Business
6.267469,-75.583792,Business
6.2119874,-75.5567821,Business
6.2119874,-75.5567821,Business
6.216385,-75.585433,Business
6.1916711,-75.5684254,Business
6.2119874,-75.5567821,eCommerce
6.19454,-75.567523,eCommerce
6.239856,-75.573903,eCommerce
6.301797,-75.553299,eCommerce
6.250723,-75.584076,Business
6.2119874,-75.5567821,Business
6.19454,-75.567523,Business
6.19454,-75.567523,eCommerce
