OBJECTID,Shape,imperdible,cod_comuna,cod,nombre_sitio,tipo_atractivo,orden_visualizacion,direccion,sitio_web,nombre_comuna,cod_barrio,barrio,x_origen_nacional,y_origen_nacional,latitud,longitud
1,"(4713317.744900001, 2246254.5177000016)",NO,15,AT001,Aeroparque Parque Juan Pablo II,Parque temático y recreativo,14,CR 70 No. 16 - 04,https://aeroparquejuanpablo.gov.co/,Guayabal,Inst_19,Parque Juan Pablo II,4713317.7449,2246254.5177,6.22229004,-75.59167481
2,"(4713559.109200001, 2245875.2638000026)",NO,15,AT002,Aeropuerto Enrique Olaya Herrera,Aeropuerto de pasajeros,37,CR 65 A No. 13 - 157,https://www.aeropuertomedellin.co/,Guayabal,Inst_19,Parque Juan Pablo II,4713559.1092,2245875.2638,6.21887207,-75.58947754
3,"(4716641.4362, 2250356.483500004)",NO,10,AT003,Barrio Prado,Sector urbano o rural de interés,0,CR 50 No. 62-99, ,La Candelaria,1001,Prado,4716641.4362,2250356.4835,6.25952148,-75.56182861
4,"(4716008.103700001, 2249319.9003000017)",NO,10,AT004,Basílica Menor Nuestra Señora de la Candelaria,Basílica,35,CR 49 a No. 50 - 85,https://arqmedellin.co/parroquias/nuestra-senora-de-la-candelaria/,La Candelaria,1019,La Candelaria,4716008.1037,2249319.9003,6.25012207,-75.56750488
5,"(4713705.0748000005, 2249459.4629000034)",NO,11,AT005,Bulevar Libertadores de América,Sector urbano o rural de interés,2,CR 70 entre la CL 47D y circular 1A, ,Laureles Estadio,1117,Florida Nueva,4713705.0748,2249459.4629,6.25128174,-75.58831787
6,"(4715636.417400001, 2245135.9991999995)",NO,14,AT006,Calle de la Buena Mesa,Sector urbano o rural de interés,6,CR 43 b con CL 10 a, ,El Poblado,1419,Manila,4715636.4174,2245135.9992,6.21228027,-75.57067871
7,"(4716372.1458, 2249162.8482000027)",NO,10,AT007,Casa de la Lectura Infantil,Sala múltiple,8,CL 51 No. 45 - 57,https://bibliotecasmedellin.gov.co/casa-de-la-lectura-infantil/,La Candelaria,1019,La Candelaria,4716372.1458,2249162.8482,6.24871826,-75.56420898
8,"(4712947.9498000005, 2252096.1998999994)",NO,07,AT008,Casa de Música El Jordán,Otro,40,CL 65 No. 84 - 17,https://bibliotecasmedellin.gov.co/centro-de-documentacion-musical-el-jordan/,Robledo,0717,Robledo,4712947.9498,2252096.1999,6.27508545,-75.59527588
9,"(4716577.387400002, 2252456.3948)",NO,04,AT009,Casa Museo Maestro Pedro Nel Gómez,Museo,50,CR 51 B No. 85-24,https://museopedronelgomez.org/,Aranjuez,0413,Aranjuez,4716577.3874,2252456.3948,6.27850342,-75.5625
10,"(4716422.3313, 2249756.7026000023)",SI,10,AT010,Catedral Basílica Metropolitana de la Inmaculada Concepción de María,Catedral,72,CR 48 No. 56 - 81,https://arqmedellin.co/catedral-de-medellin/,La Candelaria,1018,Villa Nueva,4716422.3313,2249756.7026,6.25408936,-75.56378174
11,"(4716158.9386, 2248387.5074000005)",NO,10,AT011,Cementerio San Lorenzo,Cementerio,18,CL 43 No. 43-77, ,La Candelaria,9001,Las Palmas,4716158.9386,2248387.5074,6.24169922,-75.56610107
12,"(4715343.020700001, 2248702.0428)",NO,10,AT012,Centro Administrativo´José María Córdoba´,Centro administrativo,28,CL 42 B No. 52 -106, ,La Candelaria,Inst_17,Centro Administrativo,4715343.0207,2248702.0428,6.24450684,-75.57348633
13,"(4715696.6883000005, 2249186.3982999995)",NO,10,AT013,Centro Comercial Palacio Nacional,Edificación comercial,24,CR 52 No. 48-45, ,La Candelaria,1019,La Candelaria,4715696.6883,2249186.3983,6.24890137,-75.5703125
14,"(4716333.110500001, 2252234.8034000043)",NO,04,AT014,Centro de Desarrollo Cultural de Moravia,Centro de formación cultural,26,CL 82 A No. 52 - 25,https://centroculturalmoravia.org/,Aranjuez,0405,Moravia,4716333.1105,2252234.8034,6.27648926,-75.56469727
15,"(4714568.933000001, 2249279.6855000015)",NO,11,AT015,Centro de Espectáculos La Macarena,Plaza de toros,42,CR 63 No.44 a - 65,https://www.medellin.travel/local/centro-de-espectaculos-la-macarena/,Laureles Estadio,1103,Naranjal,4714568.933,2249279.6855,6.24969482,-75.58050537
16,"(4719573.3618, 2248965.0557000004)",NO,90,AT016,Cerro Pan de Azúcar,Cerro,30, ,https://www.medellin.gov.co/es/secretaria-medio-ambiente/medellin-biodiversa/cerro-pan-de-azucar/,Corregimiento de Santa Elena,9003,Piedras Blancas - Matasano,4719573.3618,2248965.0557,6.24707031,-75.53527832
17,"(4716370.829800002, 2248892.809700001)",NO,10,AT017,Complejo Arquitectónico Claustro San Ignacio,Claustro,44,CR 44 No. 48-18, ,La Candelaria,1019,La Candelaria,4716370.8298,2248892.8097,6.24627686,-75.56420898
18,"(4715934.979700001, 2249563.2985999994)",NO,10,AT018,Conjunto de Esculturas de Botero,Escultura,88,CR 52 con CL 52, ,La Candelaria,1019,La Candelaria,4715934.9797,2249563.2986,6.25231934,-75.56817627
19,"(4713713.676500001, 2255299.2622000016)",NO,60,AT019,Ecoparque Cerro Picacho,Cerro,48, ,https://www.medellin.gov.co/es/secretaria-medio-ambiente/medellin-biodiversa/cerro-el-picacho/,Corregimiento de San Cristóbal,6011,El Picacho,4713713.6765,2255299.2622,6.30407715,-75.58850098
20,"(4715518.7664, 2248721.4373999983)",NO,10,AT020,Edificio Antigua Estación Medellín,Estación de ferrocarril,33,CR 52 No. 43 – 31,https://www.medellin.travel/antigua-estacion-del-ferrocarril-de-antioquia/,La Candelaria,Inst_17,Centro Administrativo,4715518.7664,2248721.4374,6.24468994,-75.57189941
21,"(4715593.738, 2248856.0944)",NO,10,AT021,Edificio Carré,Centro administrativo,31,CR 52 No. 44 – 31,https://www.medellin.travel/edificio-carre/,La Candelaria,1007,Guayaquil,4715593.738,2248856.0944,6.24591064,-75.57122803
22,"(4716176.992300001, 2249319.0759999994)",NO,10,AT022,Edificio Coltejer,Edificación comercial,12,CL 52 No. 47 - 42,https://www.edificiocoltejerph.com.co/,La Candelaria,1019,La Candelaria,4716176.9923,2249319.076,6.25012207,-75.565979
23,"(4714877.409000001, 2248812.3401999995)",NO,10,AT023,Edificio Inteligente Empresas Públicas de Medellín,Otro,29,CR 58 No. 42 - 125, ,La Candelaria,Inst_16,La Alpujarra,4714877.409,2248812.3402,6.2454834,-75.57769775
24,"(4715573.3723, 2248835.9404000044)",NO,10,AT024,Edificio Vásquez,Otro,27,CR 52 No. 44 - 31,https://www.medellin.travel/edificio-vasquez/,La Candelaria,1007,Guayaquil,4715573.3723,2248835.9404,6.24572754,-75.57141113
25,"(4709987.572800001, 2249106.552000001)",SI,13,AT025,Escaleras Eléctricas Comuna 13,Sector urbano o rural de interés,94,CR 110 No. 34 CC - 115,https://www.medellin.travel/comuna-13/,San Javier,1314,Las Independencias,4709987.5728,2249106.552,6.2479248,-75.62188721
26,"(4714629.3439, 2247821.128200002)",NO,16,AT026,Escultura Cacique Nutibara,Escultura,25,CL 30 A No. 55 - 64, ,Belén,Inst_18,Cerro Nutibara,4714629.3439,2247821.1282,6.23651123,-75.57989502
27,"(4715974.1941, 2249293.0613)",NO,10,AT027,Escultura La Gorda de Botero,Escultura,23,CL 50 con CR 50, ,La Candelaria,1019,La Candelaria,4715974.1941,2249293.0613,6.24987793,-75.56781006
28,"(4716333.983000001, 2249649.115600003)",NO,10,AT028,Estatua a Simón Bolívar,Estatua,21,CL 54 con la CR 48, ,La Candelaria,1018,Villa Nueva,4716333.983,2249649.1156,6.25311279,-75.5645752
29,"(4715995.743, 2249501.755900001)",NO,10,AT029,Fuente Cacique de Nutibara,Fuente,1,CR 51 CL 52 Plazuela Nutibara, ,La Candelaria,1019,La Candelaria,4715995.743,2249501.7559,6.25176563,-75.56762458
